ID,Generator,Status,Result Status,Proxy Role,Keep SR,Has SR,Optimal,Rating,CPOR,PERMI_37,PERMI_38,PERMJ_37,PERMJ_38,PERMK_37,PERMK_38,POR_38,PRPOR,POR_37,GAS_MASS_INJ,GAS_MASS_PRD,WBP_INJ,WBP_PRD,WBT_INJ,WBT_PRD,Execution Node,Derived Case Name,MCMC Count,Comment
120,LatinHyperCube,Complete,NormalTermination,Training,Auto,FALSE,TRUE,0,3.68E-06,1117.2084,1243.021,1002.1033,472.08413,581.83556,758.5086,0.28413002,8170.1721,0.34378585,0,0,22666.77,22580.229,25,89.240685,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00120,0,
121,LatinHyperCube,Complete,NormalTermination,Training,Auto,FALSE,TRUE,0,5.25E-06,761.18547,514.91396,817.39962,134.79924,1403.6329,648.75717,0.26692161,3332.696,0.34722753,0,0,22756.098,22686.568,25,88.975044,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00121,0,
122,LatinHyperCube,Complete,NormalTermination,Training,Auto,FALSE,TRUE,0,7.15E-06,1328.6807,306.11855,621.98853,276.67304,956.59656,699.61759,0.22963671,3313.5755,0.18432122,0,0,22834.148,22750.135,25,90.515572,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00122,0,
123,LatinHyperCube,Complete,NormalTermination,Training,Auto,FALSE,TRUE,0,7.54E-06,785.27725,381.07075,1411.6635,1491.9694,306.11855,616.6348,0.21529637,4403.4417,0.1751434,0,0,22722.615,22636.684,25,87.263,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00123,0,
124,LatinHyperCube,Complete,NormalTermination,Training,Auto,FALSE,TRUE,0,4.87E-06,116.06119,1154.6845,704.97132,241.8738,921.79732,370.36329,0.29904398,7233.2696,0.37476099,0,0,22324.26,22248.361,25,89.814278,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00124,0,
125,LatinHyperCube,Complete,AbnormalTermination,Training,Auto,FALSE,FALSE,0,7.66E-06,932.50478,967.30402,600.57361,169.59847,613.95793,185.65966,0.26347992,10847.036,0.35239006,,,,,,,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00125,0,
126,LatinHyperCube,Complete,NormalTermination,Training,Auto,FALSE,TRUE,0,5.34E-06,201.72084,972.65774,1020.8413,1152.0076,742.44742,1280.4971,0.22332696,9986.6157,0.23881453,0,0,22315.318,22229.344,25,88.071808,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00126,0,
127,LatinHyperCube,Complete,NormalTermination,Training,Auto,FALSE,TRUE,0,5.94E-06,220.45889,873.61377,1168.0688,603.25048,126.76864,640.72658,0.35181644,7940.7266,0.18604207,0,0,22395.758,22310.35,25,87.886536,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00127,0,
128,LatinHyperCube,Complete,NormalTermination,Training,Auto,FALSE,TRUE,0,9.69E-06,1430.4015,1425.0478,191.01338,624.66539,343.59465,919.12046,0.12351816,3141.4914,0.1292543,0,0,21732.311,21648.199,25,93.38311,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00128,0,
129,LatinHyperCube,Complete,NormalTermination,Training,Auto,FALSE,TRUE,0,3.67E-06,287.3805,292.73423,1336.7113,945.8891,911.08987,986.04207,0.19235182,5913.9579,0.31854685,0,0,22921.789,22836.518,25,84.825638,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00129,0,
130,LatinHyperCube,Complete,NormalTermination,Training,Auto,FALSE,TRUE,0,3.05E-06,464.05354,426.57744,560.42065,1026.195,1374.1874,731.73996,0.17055449,8284.8948,0.37705545,0,0,22765.643,22685.973,25,87.62075,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00130,0,
131,LatinHyperCube,Complete,NormalTermination,Training,Auto,FALSE,TRUE,0,3.92E-06,747.80115,399.8088,619.31166,1028.8719,1259.0822,654.1109,0.28871893,6927.3423,0.35640535,0,0,22657.465,22576.467,25,88.77169,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00131,0,
132,LatinHyperCube,Complete,NormalTermination,Training,Auto,FALSE,TRUE,0,8.96E-06,1015.4876,217.78203,359.65583,937.85851,514.91396,763.86233,0.32715105,10311.663,0.34435946,0,0,22487.508,22412.766,25,88.50013,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00132,0,
133,LatinHyperCube,Complete,NormalTermination,Training,Auto,FALSE,TRUE,0,3.95E-06,1355.4493,137.4761,1363.4799,485.46845,1119.8853,793.30784,0.24455067,4957.935,0.2376673,0,0,23063.568,22976.363,25,87.574196,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00133,0,
134,LatinHyperCube,Complete,NormalTermination,Training,Auto,FALSE,TRUE,0,7.67E-06,522.94455,539.00574,1326.0038,844.16826,319.50287,1216.2524,0.31166348,1611.8547,0.38221797,0,0,22546.162,22461.748,25,86.959549,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00134,0,
135,LatinHyperCube,Complete,NormalTermination,Training,Auto,FALSE,TRUE,0,8.15E-06,763.86233,758.5086,1379.5411,1339.3881,688.91013,680.87954,0.26864245,4862.3327,0.12351816,0,0,22573.732,22488.09,25,88.266479,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00135,0,
136,LatinHyperCube,Complete,NormalTermination,Training,Auto,FALSE,TRUE,0,8.59E-06,573.80497,1443.7859,172.27533,683.55641,509.56023,110.70746,0.37131931,7137.6673,0.16367113,0,0,22182.291,22103.25,25,92.740677,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00136,0,
137,LatinHyperCube,Complete,NormalTermination,Training,Auto,FALSE,TRUE,0,4.38E-06,1342.065,421.22371,161.56788,1379.5411,375.71702,737.09369,0.13843212,2644.3595,0.36615679,0,0,21937.883,21858.5,25,87.759712,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00137,0,
138,LatinHyperCube,Complete,NormalTermination,Training,Auto,FALSE,TRUE,0,3.20E-06,1240.3442,1267.1128,322.17973,348.94837,1007.457,397.13193,0.23881453,8246.6539,0.29904398,0,0,22318.623,22241.838,25,93.094551,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00138,0,
139,LatinHyperCube,Complete,NormalTermination,Training,Auto,FALSE,TRUE,0,5.24E-06,1178.7763,273.99618,1101.1472,948.56597,734.41683,1002.1033,0.31739962,8074.5698,0.39713193,0,0,22669.529,22584.646,25,87.936821,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00139,0,
140,LatinHyperCube,Complete,NormalTermination,Training,Auto,FALSE,TRUE,0,8.41E-06,670.17208,555.06692,1189.4837,576.48184,1435.7553,862.90631,0.16883365,1057.3614,0.13097514,0,0,22798.104,22712.117,25,87.640434,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00140,0,
141,LatinHyperCube,Complete,NormalTermination,Training,Auto,FALSE,TRUE,0,8.72E-06,1425.0478,180.30593,354.3021,1272.4665,1141.3002,833.4608,0.3374761,6430.2103,0.15506692,0,0,22504.186,22419.201,25,87.813263,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00141,0,
142,LatinHyperCube,Complete,NormalTermination,Training,Auto,FALSE,TRUE,0,8.19E-06,512.23709,927.15105,1309.9426,1291.2046,1264.4359,191.01338,0.1751434,4021.0325,0.12007648,0,0,22454.697,22368.936,25,88.481743,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00142,0,
143,LatinHyperCube,Complete,NormalTermination,Training,Auto,FALSE,TRUE,0,5.41E-06,1500,672.84895,868.26004,836.13767,1398.2792,252.58126,0.31854685,4671.1281,0.30191205,0,0,22587.986,22502.594,25,90.113503,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00143,0,
144,LatinHyperCube,Complete,NormalTermination,Training,Auto,FALSE,TRUE,0,5.93E-06,180.30593,314.14914,713.00191,552.39006,410.51625,956.59656,0.39426386,4537.2849,0.2789675,0,0,22632.242,22554.578,25,86.226074,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00144,0,
145,LatinHyperCube,Complete,NormalTermination,Training,Auto,FALSE,TRUE,0,3.15E-06,381.07075,439.96176,547.03633,1058.3174,592.54302,667.49522,0.12753346,9546.8451,0.20210325,0,0,23064.867,22980.986,25,87.631004,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00145,0,
146,LatinHyperCube,Complete,NormalTermination,Training,Auto,FALSE,TRUE,0,9.77E-06,1181.4532,996.74952,761.18547,1031.5488,220.45889,1085.086,0.27151052,6506.6922,0.28355641,0,0,22488.264,22402.752,25,90.329529,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00146,0,
147,LatinHyperCube,Complete,NormalTermination,Training,Auto,FALSE,TRUE,0,6.99E-06,223.13576,675.52581,929.82792,132.12237,370.36329,233.84321,0.35640535,5435.9465,0.12695985,0,0,22673.314,22587.465,25,88.641251,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00147,0,
148,LatinHyperCube,Complete,NormalTermination,Training,Auto,FALSE,TRUE,0,8.90E-06,1400.956,386.42447,1451.8164,656.78776,1176.0994,913.76673,0.22390057,9145.3155,0.1166348,0,0,22835.035,22749.609,25,88.114105,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00148,0,
149,LatinHyperCube,Complete,NormalTermination,Training,Auto,FALSE,TRUE,0,7.98E-06,370.36329,437.28489,897.70554,1052.9637,533.65201,841.4914,0.38279159,4001.912,0.25487572,0,0,22560.604,22475.145,25,87.296173,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00149,0,
150,LatinHyperCube,Complete,NormalTermination,Training,Auto,FALSE,TRUE,0,7.63E-06,1106.501,763.86233,121.41491,1192.1606,166.92161,391.7782,0.21013384,9852.7725,0.35697897,0,0,21979.184,21900.74,25,89.48423,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00150,0,
